Rule ID,CORE-ID,IG Version,ADaM Structure Group,Description,Rule Category,Status Rule,Assigned To,PR Link,Notes
AD0623,,"1.0, 1.1, 1.2, 1.3",OCCDS(ADVERSE EVENT),AESEQ is not present,,,,,
AD0624,,"1.0, 1.1, 1.2, 1.3",OCCDS(ADVERSE EVENT),AELLT is not present,,,,,
AD0625,,"1.0, 1.1, 1.2, 1.3",OCCDS(ADVERSE EVENT),AEBDSYCD is not present,,,,,
AD0626,,"1.0, 1.1, 1.2, 1.3",OCCDS(ADVERSE EVENT),AELLTCD is not present,,,,,
AD0627,,"1.0, 1.1, 1.2, 1.3",OCCDS(ADVERSE EVENT),AEHLT is not present,,,,,
AD0628,,"1.0, 1.1, 1.2, 1.3",OCCDS(ADVERSE EVENT),AEHLTCD is not present,,,,,
AD0629,,"1.0, 1.1, 1.2, 1.3",OCCDS(ADVERSE EVENT),AEHLGT is not present,,,,,
AD0630,,"1.0, 1.1, 1.2, 1.3",OCCDS(ADVERSE EVENT),AEHLGTCD is not present,,,,,
AD0631,,"1.0, 1.1, 1.2, 1.3",OCCDS(ADVERSE EVENT),AEPTCD is not present,,,,,
AD0632,,"1.0, 1.1, 1.2, 1.3",OCCDS(ADVERSE EVENT),AESOC is not present,,,,,
AD0633,,"1.0, 1.1, 1.2, 1.3",OCCDS(ADVERSE EVENT),AESOCCD is not present,,,,,
AD0634,,"1.0, 1.1, 1.2, 1.3",OCCDS(ADVERSE EVENT),AESTDTC is not present,,,,,
AD0635,,"1.0, 1.1, 1.2, 1.3",OCCDS(ADVERSE EVENT),ASTDT is not present,,,,,
AD0636,,"1.0, 1.1, 1.2, 1.3",OCCDS(ADVERSE EVENT),AEENDTC is not present,,,,,
AD0637,,"1.0, 1.1, 1.2, 1.3",OCCDS(ADVERSE EVENT),AENDT is not present,,,,,
AD0638,,"1.0, 1.1, 1.2, 1.3",OCCDS(ADVERSE EVENT),ASTDY is not present,,,,,
AD0639,,"1.0, 1.1, 1.2, 1.3",OCCDS(ADVERSE EVENT),AENDY is not present,,,,,
AD0640,,"1.0, 1.1, 1.2, 1.3",OCCDS(ADVERSE EVENT),SUPPAE.QNAM=AETRTEM is present but AETRTEM is not present,,,,,
AD0641,,"1.0, 1.1, 1.2, 1.3",STDM:OCCDS(ADVERSE EVENT),AE.AESTDY is present but AESTDY is not present,,,,,
AD0642,,"1.0, 1.1, 1.2, 1.3",STDM:OCCDS(ADVERSE EVENT),AE.AEENDY is present but AEENDY is not present,,,,,
AD0643,,"1.0, 1.1, 1.2, 1.3",STDM:OCCDS(ADVERSE EVENT),AE.AEDUR is present but AEDUR is not present,,,,,
AD0644,,"1.0, 1.1, 1.2, 1.3",STDM:OCCDS(ADVERSE EVENT),AE.AESEV is present but AESEV is not present,,,,,
AD0645,,"1.0, 1.1, 1.2, 1.3",STDM:OCCDS(ADVERSE EVENT),AE.AETOXGR is present but AETOXGR is not present,,,,,
AD0646,,"1.0, 1.1, 1.2, 1.3",STDM:OCCDS(ADVERSE EVENT),AE.AEACN is present and populated on at least one record but AEACN is not present,,,,,
AD0647,,"1.0, 1.1, 1.2, 1.3",OCCDS,TREMxxFL is Y but TRTEMFL is not Y,,,,,
AD0648,,"1.0, 1.1, 1.2, 1.3",OCCDS,TRTEMwFL is Y but TRTEMFL is not Y,,,,,
AD0649,,"1.0, 1.1, 1.2, 1.3",OCCDS,ONTRxxFL is Y but ONTRTFL is not Y,,,,,
AD0650,,"1.0, 1.1, 1.2, 1.3",OCCDS,ONTRTwFL is Y but ONTRTFL is not Y,,,,,
AD0651,,"1.0, 1.1, 1.2, 1.3",OCCDS,ONTRxxFL is present but ONTRTFL is not present,,,,,
AD0652,,"1.0, 1.1, 1.2, 1.3",OCCDS,ONTRTwFL is present but ONTRTFL is not present,,,,,
AD0653,,"1.0, 1.1, 1.2, 1.3",OCCDS(ADVERSE EVENT),SRCDOM is present,,,,,
AD0654,,"1.0, 1.1, 1.2, 1.3",OCCDS(ADVERSE EVENT),SRCSEQ is present,,,,,
AD0655,,"1.0, 1.1, 1.2, 1.3",BDS(NON-COMPARTMENTAL ANALYSIS),DOSEA is not present,,,,,
AD0656,,"1.0, 1.1, 1.2, 1.3",BDS(NON-COMPARTMENTAL ANALYSIS),DOSEU is not present,,,,,
AD0657,,"1.0, 1.1, 1.2, 1.3",BDS(NON-COMPARTMENTAL ANALYSIS),AVISIT is not present,,,,,
AD0658,,"1.0, 1.1, 1.2, 1.3",BDS(NON-COMPARTMENTAL ANALYSIS),NCAXFN is present and has a value that is not 1 or null,,,,,
AD0659,,"1.0, 1.1, 1.2, 1.3",BDS(NON-COMPARTMENTAL ANALYSIS),PKSUMXFN is present and has a value that is not 1 or null,,,,,
AD0660,,"1.0, 1.1, 1.2, 1.3",BDS(NON-COMPARTMENTAL ANALYSIS),METABFL is present and has a value that is not Y or null,,,,,
AD0661,,"1.0, 1.1, 1.2, 1.3",BDS(NON-COMPARTMENTAL ANALYSIS),ADOSEDUR is present and NDOSEDUR or DOSEDURU is not present,,,,,
AD0662,,"1.0, 1.1, 1.2, 1.3",BDS(NON-COMPARTMENTAL ANALYSIS),TMPCTDF is populated and ARRLT and NRRLT are not populated,,,,,
AD0663,,"1.0, 1.1, 1.2, 1.3",BDS(NON-COMPARTMENTAL ANALYSIS),"On a given record, COHORTN is populated and COHORT is not populated",,,,,
AD0664,,"1.0, 1.1, 1.2, 1.3",BDS(NON-COMPARTMENTAL ANALYSIS),"On a given record, COHORT is populated and COHORTN is present and not populated",,,,,
AD0665,,"1.0, 1.1, 1.2, 1.3",BDS(NON-COMPARTMENTAL ANALYSIS),COHORTN is present and COHORT is not present,,,,,
AD0666,,"1.0, 1.1, 1.2, 1.3",BDS(NON-COMPARTMENTAL ANALYSIS),DOSPCTDF is populated and DOSEP and DOSEA are not populated,,,,,
AD0667,,"1.0, 1.1, 1.2, 1.3",BDS(NON-COMPARTMENTAL ANALYSIS),DOSPCTDF is populated and TRTA is not populated,,,,,
AD0668,,"1.0, 1.1, 1.2, 1.3",BDS(NON-COMPARTMENTAL ANALYSIS),"On a given record, ACYCLE is populated and ACYCLEC is not populated",,,,,
AD0669,,"1.0, 1.1, 1.2, 1.3",BDS(NON-COMPARTMENTAL ANALYSIS),"On a given record, ACYCLEC is populated and ACYCLE is present and not populated",,,,,
AD0670,,"1.0, 1.1, 1.2, 1.3",BDS(NON-COMPARTMENTAL ANALYSIS),ACYCLEC is present and ACYCLE is not present,,,,,
AD0671,,"1.0, 1.1, 1.2, 1.3",BDS(NON-COMPARTMENTAL ANALYSIS),AVALU is not present,,,,,
AD0672,,"1.0, 1.1, 1.2, 1.3",ADDL,SPDEVID is not present within ADDL,,,,,
AD0673,,"1.0, 1.1, 1.2, 1.3",ADDL,"There is more than one value of DEVGRy for a given value of DEVGRyN, considering only those rows on which both variables are populated",,,,,
AD0674,,"1.0, 1.1, 1.2, 1.3",ADDL,"There is more than one value of DEVGRyN for a given value of DEVGRy, considering only those rows on which both variables are populated",,,,,
