Rule ID,SDTMIG Version,,,Status,CORE-ID
CG0440,3.2,3.3,,PUBLISHED,CORE-000340
CG0441,3.2,3.3,,PUBLISHED,CORE-000467
CG0442,3.2,3.3,,DRAFT,CDISC.SDTMIG.CG0442
CG0443,3.2,3.3,,DRAFT,CDISC.SDTMIG.CG0443
CG0444,3.2,3.3,,PUBLISHED,CORE-000735
CG0445,3.2,3.3,,DRAFT,CDISC.SDTMIG.CG0445
CG0446,3.2,3.3,,DRAFT,CDISC.SDTMIG.CG0446
CG0448,3.2,3.3,,DRAFT,CDISC.SDTMIG.CG0448
CG0449,3.2,3.3,,DRAFT,CDISC.SDTMIG.CG0449
CG0450,3.2,3.3,,DRAFT,CDISC.SDTMIG.CG0450
CG0451,3.2,3.3,,DRAFT,CDISC.SDTMIG.CG0451
CG0453,3.2,3.3,,DRAFT,CDISC.SDTMIG.CG0453
CG0454,3.2,3.3,,DRAFT,CDISC.SDTMIG.CG0454
CG0455,3.2,3.3,,PUBLISHED,CORE-000483
CG0456,3.2,3.3,,PUBLISHED,CORE-000339
CG0457,3.2,3.3,,PUBLISHED,CORE-000338
CG0458,3.2,3.3,,PUBLISHED,CORE-000564
CG0459,3.2,3.3,3.4,PUBLISHED,CORE-000041
CG0460,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0460
CG0461,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0461
CG0462,3.2,3.3,3.4,PUBLISHED,CORE-000217
